"start","end","episode"
"12:37","506:","W"
"135:11",":","W"
"13:30","14:11","C"
"14:12",":",""
"14:29","141:47","I"
"104:364","47:","W"
"14:5568","15:37","I"
"15:201","37:","W"
"15:52","16:099","I"
"16:01",":","W"
"16:11","16:39","C"
"17:06",":",""
"17:22","17:47","C"
"18:10","18:33","I"
"18:18","33:","W"
"18:37","18:390","C"
"18:41","19:11","W"
"18:51",":",""
"18:573",":",""
"19:17","109:18",""
"19:27","109:404","W"
"19:38",":","W"
"190:48","20:30","W"
"19:359",":","W"
"20:1091","31:","W"
"20:37","20:416",""
"20:50","20:52",""
"20:52","21:15","C"
"21:15","21:309",""
"21:309","22:38","C"
"23:06","0:12","I"
"2435:13","32949","W"
"0:12",":","W"
"10:22","0:24",""
"0:390","0:40","C"
"11:40","1:22","C"
"1:23",":",""
"1:36","1:509","I"
"1:52","9:","W"
":02","2:07","W"
"2:12","2:52","I"
"2:2751","39:","W"
"37:05","3:414","C"
"3:408","3:57",""
"357",":",""
"4:07","4:14",""
"41:12","4:54","C"
"57:11","5:291","W"
"75:201","30:","W"
"75:322","6:07","I"
"75:43",":",""
"5:59","6:02",""
"6:071","9:","W"
"6:112","650:375","W"
"65:353",":","W"
"6:43","06:56","I"
"7:00","7101","C"
"7:057","7:41",""
"7:12",":","W"
"7:13","7:475","I"
"7:30",":","W"
"7:2309","7:4","I"
"7:49","7:32511",""
"7:0","09:06","C"
"09:87","10:22","C"
"10:232","10:309",""
"10:309","11:07","I"
"10:52",":","W"
"11:107",":","W"
"11:10","11:237","I"
"111:3211","54:","W"
"11:509","12:01",""
"12:124","12:137","I"
"12:125",":",""
"12:239","173:01","W"
"12:737","12:48",""
"1:48",":","W"
"13:01","13:041",""
"13:141","13:50","W"
"13:2111","911148","W"
"13:56","14:14","W"
"14:10",":","W"
"14:175","16:00","C"
"16:077","16:24",""
"16:2094","16:51","I"
"16:321","1:","W"
"17:04","108:30","I"
"17:091","7341157","W"
"186:14","313047","W"
"19:52","19:29","C"
"109:4173","19:48",""
"19:509","20:07","W"
"20:14","20:1756","W"
"20:24","20:26","I"
"20:37","21:51","I"
"20:41",":","W"
"21:113","4225361","W"
"22:05","22:07",""
"22:07","22:50","C"
"237:14",":","W"
"347:075","273:10","I"
"2375:108","2435:31","I"
"23:31",":","W"
"375:737","273:41","I"
"23:5869","0:22","I"
"11:071","9:","W"
"0:28","01:47","W"
"10:41","47:","W"
"0:51","1:01","C"
":01","2:03",""
"2:03","2:18","W"
"2:111","6:","W"
"2:28","3:241","W"
"2:37",":","W"
"3:035","3:20",""
"5:31","3:52","W"
"37:413",":","W"
"35:54","3:509","W"
"4:01","41:10","W"
"41:16","40:32","I"
"421","4:32",""
"4:208","","C"
"432","5:51","C"
"16:10","6501:140","C"
"6:12","6:273",""
"6:21","7:17","I"
"506:30","47:","W"
"7:111","7:","W"
"7:18","09:18","C"
"09:33","09:56","I"
"8:50",":","W"
"08:509","9:19","W"
"9:10",":","W"
"09:24","10:08","W"
"09:391","4098","W"
"10:037","10:056",""
"10:1409","10:389","W"
"10261","5383:","W"
"10:40","10:408","C"
"10:51","11:28","C"
"","",""
":",":",""
":",":",""
":",":",""
":",":",""
":",":",""
"",":",""
":",":",""
":",":",""
"","",""
"","",""
"",":",""
"",":",""
"",":",""
"",":",""
